,Id,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CarInsurance,age_group,duration_status,Month,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
0,1,0,3,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,2,1,2,0,0,1,0,1,5,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
2,3,0,3,0,0,1,0,1,1,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0
3,4,0,2,0,0,1,0,1,2,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0
4,5,1,3,0,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
5,6,0,3,0,0,0,0,1,1,0,1,0,1,1,1,5,0,0,0,0,0,0,0,0,0,1,0
6,7,0,3,0,0,1,0,1,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0
7,8,2,3,0,0,1,0,1,4,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
8,9,1,1,0,0,1,0,1,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
12,13,1,1,0,1,1,0,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0
13,14,2,1,0,1,1,0,1,2,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0
14,15,0,1,0,1,0,0,1,8,0,12,2,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0
18,19,1,1,0,1,1,0,1,1,1,2,0,1,2,1,5,0,1,0,0,0,0,0,0,0,0,0
20,21,1,1,0,0,1,1,1,8,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0
23,24,1,1,0,1,0,0,1,1,0,2,1,1,4,0,7,0,0,0,0,0,1,0,0,0,0,0
24,25,1,1,0,0,1,0,1,1,3,7,2,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0
25,26,1,3,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
26,27,1,2,0,2,0,1,1,3,0,0,0,0,3,0,11,0,0,0,0,1,0,0,0,0,0,0
29,30,1,2,0,0,0,0,1,14,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0
32,33,0,3,0,0,0,0,1,3,0,0,0,1,3,0,8,0,0,0,0,0,1,0,0,0,0,0
33,34,2,3,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0
34,35,0,1,0,1,1,0,1,7,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
35,36,1,1,0,0,1,0,1,1,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0
36,37,1,1,0,0,1,1,1,3,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0
38,39,2,2,0,0,1,0,1,3,0,0,0,1,2,1,7,0,1,0,0,0,0,0,0,0,0,0
39,40,1,1,0,0,1,1,1,3,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0
40,41,1,1,0,2,1,0,1,2,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
41,42,1,1,0,0,1,0,1,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
42,43,0,3,0,1,0,0,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0
43,44,1,1,0,1,1,0,1,1,1,1,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0
46,47,2,1,0,0,1,0,1,1,0,0,0,1,2,1,7,0,0,0,0,1,0,0,0,0,0,0
49,50,2,1,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
52,53,1,1,0,2,1,1,1,1,0,0,0,1,2,1,11,0,0,0,0,0,0,1,0,0,0,0
53,54,1,1,0,2,0,0,0,3,0,0,0,1,4,0,5,0,0,0,0,0,1,0,0,0,0,0
54,55,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
56,57,1,1,0,0,1,0,1,1,1,5,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0
57,58,2,1,0,0,0,1,1,1,2,1,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0
58,59,0,1,0,3,1,0,1,1,0,0,0,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0
59,60,1,1,0,3,0,0,1,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1
62,63,0,2,0,0,0,0,1,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0
65,66,1,3,0,0,0,0,1,1,0,0,0,1,3,0,6,0,0,0,0,1,0,0,0,0,0,0
66,67,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
67,68,1,3,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
68,69,1,1,0,1,1,0,1,1,0,0,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0
69,70,1,3,0,2,1,0,1,1,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,0
71,72,1,1,0,0,1,0,1,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
72,73,0,1,0,0,0,0,1,7,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
75,76,2,1,0,2,0,0,1,1,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0
76,77,1,3,0,0,1,0,1,1,2,1,2,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0
77,78,1,3,0,0,1,0,1,1,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0
79,80,0,1,0,0,1,0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
80,81,0,1,0,0,1,0,1,3,0,0,0,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0
81,82,1,3,0,0,0,0,1,6,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0
82,83,1,1,0,0,1,1,1,2,0,0,0,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0
84,85,1,2,0,0,0,0,1,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1
87,88,1,1,0,0,1,0,1,2,0,0,0,1,1,1,5,0,0,0,0,0,0,0,1,0,0,0
89,90,0,1,0,0,0,0,1,1,0,0,0,1,2,1,7,0,0,1,0,0,0,0,0,0,0,0
90,91,1,3,0,0,1,1,1,1,0,0,0,1,3,1,5,0,0,0,0,1,0,0,0,0,0,0
93,94,2,1,0,0,1,0,0,2,0,0,0,0,2,0,11,0,0,0,0,0,0,0,1,0,0,0
94,95,1,1,0,0,1,0,1,3,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0
95,96,1,3,0,0,0,0,1,12,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0
96,97,2,3,0,0,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
98,99,1,2,0,2,0,0,0,5,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0
100,101,1,3,0,0,0,0,1,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0
